Id,SalePrice
1461,144000
1462,157900
1463,173000
1464,231500
1465,213500
1466,185000
1467,173000
1468,178900
1469,170000
1470,97000
1471,278000
1472,88000
1473,88000
1474,148500
1475,133000
1476,269500
1477,233170
1478,318000
1479,314813
1480,466500
1481,285000
1482,202500
1483,176432
1484,160200
1485,180000
1486,225000
1487,240000
1488,232000
1489,208300
1490,220000
1491,180000
1492,82000
1493,190000
1494,238000
1495,236000
1496,196000
1497,216000
1498,151000
1499,151000
1500,147400
1501,177000
1502,148800
1503,224000
1504,226000
1505,185000
1506,142000
1507,268000
1508,190000
1509,154000
1510,135000
1511,142000
1512,167000
1513,158000
1514,141000
1515,125000
1516,97500
1517,140000
1518,124000
1519,220000
1520,135000
1521,142000
1522,167000
1523,115000
1524,133000
1525,133000
1526,133700
1527,145000
1528,117000
1529,132500
1530,155000
1531,140000
1532,100000
1533,241500
1534,96500
1535,115000
1536,115000
1537,60000
1538,140000
1539,110000
1540,117500
1541,125500
1542,145000
1543,122000
1544,105000
1545,113000
1546,131000
1547,128000
1548,113000
1549,101000
1550,125000
1551,113000
1552,189000
1553,55000
1554,75000
1555,133000
1556,124000
1557,125000
1558,79000
1559,160000
1560,160000
1561,136500
1562,116500
1563,125000
1564,121500
1565,128200
1566,260000
1567,73000
1568,211000
1569,135000
1570,150000
1571,127500
1572,139000
1573,239686
1574,160000
1575,275000
1576,189000
1577,186000
1578,135000
1579,138000
1580,176500
1581,147000
1582,112500
1583,305900
1584,250000
1585,140000
1586,60000
1587,102776
1588,154000
1589,115000
1590,125000
1591,115000
1592,100000
1593,112500
1594,136000
1595,128000
1596,138000
1597,154300
1598,180000
1599,260000
1600,275000
1601,60000
1602,116000
1603,40000
1604,275000
1605,230000
1606,205000
1607,171000
1608,227680
1609,224000
1610,167500
1611,136500
1612,175000
1613,181000
1614,118000
1615,75000
1616,75000
1617,83500
1618,127000
1619,144000
1620,142953
1621,147000
1622,135500
1623,175000
1624,205000
1625,137000
1626,244000
1627,181000
1628,236000
1629,168500
1630,251000
1631,173000
1632,278000
1633,180000
1634,192000
1635,165600
1636,176000
1637,185000
1638,190000
1639,172500
1640,250000
1641,180000
1642,226000
1643,214000
1644,212000
1645,121500
1646,167900
1647,82500
1648,140000
1649,135000
1650,120500
1651,124500
1652,100000
1653,106000
1654,148500
1655,147000
1656,146000
1657,148500
1658,148500
1659,133500
1660,145000
1661,485000
1662,339750
1663,315000
1664,466500
1665,318000
1666,280000
1667,310000
1668,315000
1669,285000
1670,337500
1671,220000
1672,374000
1673,309000
1674,232000
1675,194700
1676,196000
1677,207500
1678,184750
1679,315000
1680,318061
1681,277500
1682,312500
1683,171750
1684,178900
1685,174000
1686,160200
1687,180000
1688,219210
1689,183500
1690,183200
1691,180000
1692,214900
1693,180000
1694,192000
1695,180000
